FormName,FormFreq,Username,Know what is expected of you as a worker,Help build a team as a working unit,Determine what is expected of you on the job,"Know how things ""really work"" inside an organisation",Work under pressure,Master an organisation's slang and special jargon,Manage conflict among group members,Understand what all of the duties of your role entail,Solve new and difficult problems,Work under extreme cricumstances,Understand the politics in the organisation,Continue to learn once you're on the job,Develop cooperative working relationships with others,Invent new ways of doing things,Solve most problems even though no solution is immediately apparent,Find out exactly what a problem is when fist becoming aware of it,Listen effectively to gain information,Know an organisation's long-held traditions,Work well in situations that other people consider stressful,Understand the behaviour appropriate to your role,Challenge things that are done by the book,Learn from your mistakes,Solve problems no matter how complex,Coordinate tasks within you work group,Learn to improve on your past performance,Be sensitive to other's feelings and attitudes,Function well at work even when faced with personal difficulties,Concentrate on what someone is saying to you even though other things could distract you,Listen effectively to understand opposing points of view,Have the skills and abilities to do my job properly,Date,ID
Autistica - Work: Self Confidence,120,63237915,A little,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,01/01/2019,25
Autistica - Work: Self Confidence,120,50544037,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,01/01/2019,26
Autistica - Work: Self Confidence,120,14286843,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,01/01/2019,27
Autistica - Work: Self Confidence,120,53175760,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,01/01/2019,28
Autistica - Work: Self Confidence,120,56361261,A little,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,01/01/2019,29
Autistica - Work: Self Confidence,120,66411825,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,01/01/2019,30
Autistica - Work: Self Confidence,120,34060153,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,A little,A little,A little,A little,Moderate,A little,Moderate,A little,A little,A little,A little,A little,A little,Moderate,Moderate,01/01/2019,31
Autistica - Work: Self Confidence,120,11168511,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,01/01/2019,32
Autistica - Work: Self Confidence,120,85920205,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,Moderate,A little,01/01/2019,33
Autistica - Work: Self Confidence,120,83766303,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,01/01/2019,34
Autistica - Work: Self Confidence,120,64793738,A little,A little,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,A little,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,01/01/2019,35
Autistica - Work: Self Confidence,120,59096037,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,01/01/2019,36
Autistica - Work: Self Confidence,120,77773077,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,01/01/2019,37
Autistica - Work: Self Confidence,120,47375033,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,01/01/2019,38
Autistica - Work: Self Confidence,120,39847852,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,01/01/2019,39
Autistica - Work: Self Confidence,120,68971632,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,01/01/2019,40
Autistica - Work: Self Confidence,120,22090963,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,01/01/2019,41
Autistica - Work: Self Confidence,120,60377624,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,A little,A little,Moderate,A little,01/01/2019,42
Autistica - Work: Self Confidence,120,30738880,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,01/01/2019,43
Autistica - Work: Self Confidence,120,86589369,A little,A little,Moderate,A little,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,A little,A little,A little,A little,A little,01/01/2019,44
Autistica - Work: Self Confidence,120,66155821,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,A little,A little,01/01/2019,45
Autistica - Work: Self Confidence,120,61677296,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,A little,01/01/2019,46
Autistica - Work: Self Confidence,120,56419454,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,01/01/2019,47
Autistica - Work: Self Confidence,120,86397034,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,01/01/2019,48
Autistica - Work: Self Confidence,120,41455969,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,A little,A little,01/01/2019,49
Autistica - Work: Self Confidence,120,23394144,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,01/01/2019,50
Autistica - Work: Self Confidence,120,21326904,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,A little,Moderate,01/01/2019,51
Autistica - Work: Self Confidence,120,44980497,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,01/01/2019,52
Autistica - Work: Self Confidence,120,38982647,Not confident at all,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,01/01/2019,53
Autistica - Work: Self Confidence,120,80484260,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,01/01/2019,54
Autistica - Work: Self Confidence,120,24052776,Not confident at all,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,A little,01/01/2019,55
Autistica - Work: Self Confidence,120,70538701,Not confident at all,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,01/01/2019,56
Autistica - Work: Self Confidence,120,89804580,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,01/01/2019,57
Autistica - Work: Self Confidence,120,17191527,A little,A little,A little,A little,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,01/01/2019,58
Autistica - Work: Self Confidence,120,12248148,A little,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,01/01/2019,59
Autistica - Work: Self Confidence,120,14567809,A little,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,A little,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,01/01/2019,60
Autistica - Work: Self Confidence,120,53779464,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,01/01/2019,61
Autistica - Work: Self Confidence,120,97777931,A little,A little,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,01/01/2019,62
Autistica - Work: Self Confidence,120,99713717,Not confident at all,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,01/01/2019,63
Autistica - Work: Self Confidence,120,93466703,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,A little,A little,A little,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,01/01/2019,64
Autistica - Work: Self Confidence,120,37419497,A little,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,01/01/2019,65
Autistica - Work: Self Confidence,120,35358065,A little,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,01/01/2019,66
Autistica - Work: Self Confidence,120,86131995,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,A little,A little,Moderate,01/01/2019,67
Autistica - Work: Self Confidence,120,57180656,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,A little,01/01/2019,68
Autistica - Work: Self Confidence,120,62929404,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,01/01/2019,69
Autistica - Work: Self Confidence,120,30901982,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,A little,Moderate,A little,01/01/2019,70
Autistica - Work: Self Confidence,120,93085379,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,01/01/2019,71
Autistica - Work: Self Confidence,120,77431644,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,A little,A little,Moderate,A little,A little,01/01/2019,72
Autistica - Work: Self Confidence,120,67013133,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,01/01/2019,73
Autistica - Work: Self Confidence,120,13838301,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,A little,Moderate,01/01/2019,74
Autistica - Work: Self Confidence,120,66718298,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,01/01/2019,75
Autistica - Work: Self Confidence,120,24641611,Not confident at all,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,01/01/2019,76
Autistica - Work: Self Confidence,120,67388864,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,01/01/2019,77
Autistica - Work: Self Confidence,120,25055544,Moderate,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,01/01/2019,78
Autistica - Work: Self Confidence,120,24503298,Not confident at all,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,A little,A little,01/01/2019,79
Autistica - Work: Self Confidence,120,43928283,Moderate,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,01/01/2019,80
Autistica - Work: Self Confidence,120,19630284,Not confident at all,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,A little,A little,A little,A little,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,A little,01/01/2019,81
Autistica - Work: Self Confidence,120,87042105,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,01/01/2019,82
Autistica - Work: Self Confidence,120,71593024,Not confident at all,A little,A little,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,A little,Moderate,A little,A little,A little,A little,Moderate,A little,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,01/01/2019,83
Autistica - Work: Self Confidence,120,31866214,Not confident at all,Moderate,A little,A little,A little,A little,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,01/01/2019,84
Autistica - Work: Self Confidence,120,97162166,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,01/01/2019,85
Autistica - Work: Self Confidence,120,41273901,Completely confident,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,A little,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,01/01/2019,86
