FormName,FormFreq,Username,The people I work with have excellent knowledge of autism,"I feel that if a new person was to join the team and they disclosed they were autistic, they would be well supported and understood by others",I feel that the management of the team are constantly improving their knowledge about autism,It is easy to find information within the organisation about supporting autistic employees,There are established pathways for autistic people to seek advice and support for managing their daily work activities,The organisation has been proactive in making adjustments and providing autism awareness training for employees,I think the organisation performs better than other organisations in the sector in terms of quality of support for autistic employees,Date,ID
Autistica - Organisational Culture,30,70538701,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,01/01/2019,56
Autistica - Organisational Culture,30,89804580,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,01/01/2019,57
Autistica - Organisational Culture,30,17191527,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,01/01/2019,58
Autistica - Organisational Culture,30,12248148,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,01/01/2019,59
Autistica - Organisational Culture,30,14567809,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,01/01/2019,60
Autistica - Organisational Culture,30,53779464,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,01/01/2019,61
Autistica - Organisational Culture,30,97777931,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,01/01/2019,62
Autistica - Organisational Culture,30,99713717,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,01/01/2019,63
Autistica - Organisational Culture,30,93466703,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,01/01/2019,64
Autistica - Organisational Culture,30,37419497,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,01/01/2019,65
Autistica - Organisational Culture,30,35358065,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,01/01/2019,66
Autistica - Organisational Culture,30,86131995,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,01/01/2019,67
Autistica - Organisational Culture,30,57180656,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,01/01/2019,68
Autistica - Organisational Culture,30,62929404,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,01/01/2019,69
Autistica - Organisational Culture,30,30901982,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,01/01/2019,70
Autistica - Organisational Culture,30,93085379,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,01/01/2019,71
Autistica - Organisational Culture,30,77431644,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,01/01/2019,72
Autistica - Organisational Culture,30,67013133,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,01/01/2019,73
Autistica - Organisational Culture,30,13838301,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,01/01/2019,74
Autistica - Organisational Culture,30,66718298,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,01/01/2019,75
Autistica - Organisational Culture,30,24641611,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,01/01/2019,76
Autistica - Organisational Culture,30,67388864,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,01/01/2019,77
Autistica - Organisational Culture,30,25055544,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,01/01/2019,78
Autistica - Organisational Culture,30,24503298,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,01/01/2019,79
Autistica - Organisational Culture,30,43928283,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,01/01/2019,80
Autistica - Organisational Culture,30,19630284,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,01/01/2019,81
Autistica - Organisational Culture,30,87042105,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,01/01/2019,82
Autistica - Organisational Culture,30,71593024,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,01/01/2019,83
Autistica - Organisational Culture,30,31866214,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,01/01/2019,84
Autistica - Organisational Culture,30,97162166,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,01/01/2019,85
Autistica - Organisational Culture,30,41273901,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,01/01/2019,86
Autistica - Organisational Culture,30,43440948,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,01/01/2019,87
Autistica - Organisational Culture,30,77705205,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,01/01/2019,88
Autistica - Organisational Culture,30,58358243,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,01/01/2019,89
Autistica - Organisational Culture,30,47815963,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,01/01/2019,90
Autistica - Organisational Culture,30,69828639,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,01/01/2019,91
Autistica - Organisational Culture,30,38868666,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,01/01/2019,92
Autistica - Organisational Culture,30,72888018,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,01/01/2019,93
Autistica - Organisational Culture,30,43522829,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,01/01/2019,94
Autistica - Organisational Culture,30,41811454,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,01/01/2019,95
Autistica - Organisational Culture,30,40690745,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,01/01/2019,96
Autistica - Organisational Culture,30,25057429,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,01/01/2019,97
Autistica - Organisational Culture,30,39249976,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,01/01/2019,98
Autistica - Organisational Culture,30,63410382,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,01/01/2019,99
Autistica - Organisational Culture,30,61657100,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,01/01/2019,100
Autistica - Organisational Culture,30,22222222,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,14/01/2019,101
Autistica - Organisational Culture,30,11111111,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,14/01/2019,102
Autistica - Organisational Culture,30,12077101,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,14/01/2019,103
Autistica - Organisational Culture,30,38961843,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,14/01/2019,104
Autistica - Organisational Culture,30,67611589,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,14/01/2019,105
Autistica - Organisational Culture,30,32500162,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,14/01/2019,106
Autistica - Organisational Culture,30,90705766,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,14/01/2019,107
Autistica - Organisational Culture,30,46465154,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,14/01/2019,108
Autistica - Organisational Culture,30,36480781,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,14/01/2019,109
Autistica - Organisational Culture,30,86004302,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,14/01/2019,110
Autistica - Organisational Culture,30,74046800,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,14/01/2019,111
Autistica - Organisational Culture,30,67512682,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,14/01/2019,112
Autistica - Organisational Culture,30,87436666,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,14/01/2019,113
Autistica - Organisational Culture,30,28755653,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,14/01/2019,114
Autistica - Organisational Culture,30,66722819,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,14/01/2019,115
Autistica - Organisational Culture,30,65438804,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,14/01/2019,116
Autistica - Organisational Culture,30,15938146,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,14/01/2019,117
Autistica - Organisational Culture,30,37603401,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,14/01/2019,118
Autistica - Organisational Culture,30,23337145,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,14/01/2019,119
Autistica - Organisational Culture,30,99599196,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,14/01/2019,120
Autistica - Organisational Culture,30,25718877,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,14/01/2019,121
Autistica - Organisational Culture,30,97909632,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,14/01/2019,122
Autistica - Organisational Culture,30,40268226,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,14/01/2019,123
Autistica - Organisational Culture,30,63985686,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,14/01/2019,124
Autistica - Organisational Culture,30,63237915,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,14/01/2019,125
Autistica - Organisational Culture,30,50544037,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,14/01/2019,126
Autistica - Organisational Culture,30,14286843,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,14/01/2019,127
Autistica - Organisational Culture,30,53175760,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,14/01/2019,128
Autistica - Organisational Culture,30,56361261,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,14/01/2019,129
Autistica - Organisational Culture,30,66411825,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,14/01/2019,130
Autistica - Organisational Culture,30,34060153,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,14/01/2019,131
Autistica - Organisational Culture,30,11168511,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,14/01/2019,132
Autistica - Organisational Culture,30,85920205,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,14/01/2019,133
Autistica - Organisational Culture,30,83766303,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,14/01/2019,134
Autistica - Organisational Culture,30,64793738,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,14/01/2019,135
Autistica - Organisational Culture,30,59096037,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,14/01/2019,136
Autistica - Organisational Culture,30,77773077,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,14/01/2019,137
Autistica - Organisational Culture,30,47375033,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,14/01/2019,138
Autistica - Organisational Culture,30,39847852,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,14/01/2019,139
Autistica - Organisational Culture,30,68971632,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,14/01/2019,140
Autistica - Organisational Culture,30,22090963,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,14/01/2019,141
Autistica - Organisational Culture,30,60377624,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,14/01/2019,142
Autistica - Organisational Culture,30,30738880,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,14/01/2019,143
Autistica - Organisational Culture,30,86589369,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,14/01/2019,144
Autistica - Organisational Culture,30,66155821,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,14/01/2019,145
Autistica - Organisational Culture,30,61677296,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,14/01/2019,146
Autistica - Organisational Culture,30,56419454,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,14/01/2019,147
Autistica - Organisational Culture,30,86397034,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,14/01/2019,148
Autistica - Organisational Culture,30,41455969,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,14/01/2019,149
Autistica - Organisational Culture,30,23394144,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,14/01/2019,150
Autistica - Organisational Culture,30,21326904,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,14/01/2019,151
Autistica - Organisational Culture,30,44980497,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,14/01/2019,152
Autistica - Organisational Culture,30,38982647,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,14/01/2019,153
Autistica - Organisational Culture,30,80484260,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,14/01/2019,154
Autistica - Organisational Culture,30,24052776,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,14/01/2019,155
Autistica - Organisational Culture,30,70538701,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,14/01/2019,156
Autistica - Organisational Culture,30,89804580,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,14/01/2019,157
Autistica - Organisational Culture,30,17191527,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,14/01/2019,158
Autistica - Organisational Culture,30,12248148,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,14/01/2019,159
Autistica - Organisational Culture,30,14567809,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,14/01/2019,160
Autistica - Organisational Culture,30,53779464,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,14/01/2019,161
Autistica - Organisational Culture,30,97777931,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,14/01/2019,162
Autistica - Organisational Culture,30,99713717,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,14/01/2019,163
Autistica - Organisational Culture,30,93466703,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,14/01/2019,164
Autistica - Organisational Culture,30,37419497,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,14/01/2019,165
Autistica - Organisational Culture,30,35358065,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,14/01/2019,166
Autistica - Organisational Culture,30,86131995,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,14/01/2019,167
